sec,value
0,0.000793
1,0.021576
2,0.167999
3,0.361053
4,0.270355
5,0.399353
6,0.484894
7,0.824707
8,1.093170
9,0.771667
10,0.772186
11,0.794830
12,0.743225
13,0.863312
14,0.747894
15,0.921936
16,0.798096
17,0.975342
18,0.892578
19,0.814789
20,0.774933
21,0.962402
22,0.696686
23,0.742798
24,0.587830
25,0.610657
26,0.570404
27,0.661591
28,0.578918
29,0.602722
30,0.729553
31,0.708893
32,0.796021
33,0.547119
34,0.700470
35,0.618073
36,0.650757
37,0.631531
38,0.629456
39,0.737518
40,0.907471
41,0.724762
42,0.679260
43,0.762848
44,0.693970
45,0.873840
46,0.852417
47,0.739471
48,0.868958
49,0.802429
50,0.889496
51,0.820313
52,0.911530
53,0.713593
54,1.032379
55,1.027527
56,0.691345
57,0.759399
58,0.837311
59,1.052399
60,0.998474
61,0.970398
62,0.837128
63,1.297516
64,1.596100
65,0.995758
66,0.892822
67,0.947266
68,0.785309
69,1.062927
70,0.800690
71,1.362366
72,0.879944
73,0.875000
74,0.956329
75,1.132324
76,1.067993
77,0.878876
78,1.072449
79,1.560425
80,0.833038
81,0.902496
82,0.977325
83,0.840179
84,1.034851
85,1.213257
86,1.382446
87,1.539337
88,1.400574
89,1.348022
90,1.168945
91,0.862762
92,0.815491
93,0.760071
94,0.757599
95,0.935669
96,0.837860
97,0.897034
98,1.100525
99,0.995148
100,0.954041
101,0.837982
102,0.773102
103,0.791840
104,0.876373
105,0.898499
106,1.001617
107,0.774292
108,0.851257
109,0.824005
110,0.959656
111,0.839661
112,0.752350
113,0.864349
114,0.644684
115,0.555786
116,0.578430
117,0.604645
118,0.689362
119,0.618866
120,0.719269
121,0.697632
122,0.782471
123,0.763062
124,0.759094
125,0.619080
126,0.563660
127,0.702087
128,0.619690
129,0.590820
130,0.780396
131,0.847717
132,0.603302
133,0.630310
134,0.635864
135,0.657043
136,1.337006
137,0.664642
138,0.725281
139,0.920319
140,0.663483
141,0.696991
142,0.976013
143,0.838776
144,0.832031
145,0.893585
146,0.935944
147,0.793152
148,0.873199
149,1.145447
150,1.028259
151,1.074463
152,1.311218
153,1.147522
154,1.796539
155,1.446014
156,0.965363
157,1.043243
158,1.161407
159,0.901276
160,1.025360
161,1.639160
162,1.435730
163,0.911926
164,1.041412
165,0.921326
166,1.102875
167,1.174072
168,0.984192
169,1.636169
170,1.607758
171,1.247772
172,1.122437
173,1.099182
174,0.963959
175,1.218414
176,1.207001
177,1.101044
178,1.467621
179,0.669952
180,0.447906
181,0.635132
182,0.514374
183,0.503265
184,0.707397
185,0.802856
186,0.621826
187,0.628967
188,0.725189
189,0.614746
190,0.722382
191,0.690063
192,0.710510
193,0.685211
194,0.715240
195,0.689362
196,0.680450
197,0.974365
198,0.729584
199,0.899475
200,0.979919
201,0.853302
202,0.717010
203,0.875519
204,0.921509
205,1.501373
206,1.338165
207,0.764648
208,0.893402
209,0.971344
210,0.909760
211,1.109436
212,0.930725
213,1.401367
214,0.996094
215,0.849274
216,0.925537
217,0.865051
218,0.979919
219,1.002747
220,1.284393
221,1.496948
222,0.797607
223,0.886780
224,1.142426
225,0.946777
226,0.968292
227,1.138000
228,0.686157
229,1.075470
230,0.678802
231,0.829193
232,0.613861
233,0.762848
234,0.538452
235,0.598114
236,0.736328
237,0.765503
238,0.900848
239,0.630585
240,0.598480
241,0.589569
242,0.675751
243,0.691650
244,0.951263
245,1.069244
246,1.564026
247,1.521088
248,1.883362
249,1.911011
250,1.469360
251,1.348297
252,1.635132
253,1.474030
254,1.377625
255,1.291534
256,1.279999
257,1.076874
258,1.309570
259,1.147247
260,1.517181
261,1.406250
262,1.188965
263,1.311981
264,1.350159
265,1.584900
266,1.429565
267,1.563141
268,1.477722
269,1.801422
270,0.982269
271,1.429047
272,1.054108
273,1.843933
274,1.386780
275,1.184021
276,1.135742
277,1.554810
278,1.723083
279,0.708435
280,0.153931
281,0.030304
282,0.002350
283,0.000244