interval,rms
0,0.000095
1,0.000518
2,0.002052
3,0.005524
4,0.008977
5,0.025581
6,0.033478
7,0.083493
8,0.058185
9,0.055969
10,0.069408
11,0.104417
12,0.145406
13,0.172325
14,0.269117
15,0.377818
16,0.442409
17,0.423581
18,0.357481
19,0.369882
20,0.338850
21,0.324937
22,0.349187
23,0.359628
24,0.344612
25,0.341500
26,0.340560
27,0.334475
28,0.330116
29,0.365369
30,0.353105
31,0.370813
32,0.374650
33,0.344794
34,0.353834
35,0.341865
36,0.340542
37,0.321816
38,0.347849
39,0.350567
40,0.349462
41,0.354764
42,0.345075
43,0.331601
44,0.326240
45,0.362817
46,0.342996
47,0.162921
48,0.294548
49,0.324066
50,0.340220
51,0.344601
52,0.328752
53,0.314670
54,0.323883
55,0.345182
56,0.309470
57,0.329354
58,0.351924
59,0.348976
60,0.341726
61,0.327844
62,0.335326
63,0.386119
64,0.355971
65,0.369959
66,0.396385
67,0.350896
68,0.328647
69,0.336656
70,0.346557
71,0.364055
72,0.324539
73,0.373013
74,0.368395
75,0.323735
76,0.334770
77,0.317219
78,0.335517
79,0.337515
80,0.316736
81,0.330293
82,0.368869
83,0.363357
84,0.334801
85,0.316978
86,0.348273
87,0.359314
88,0.314676
89,0.338716
90,0.356273
91,0.339226
92,0.381842
93,0.360553
94,0.346024
95,0.391003
96,0.366939
97,0.410021
98,0.417760
99,0.402683
100,0.355912
101,0.348691
102,0.339818
103,0.373131
104,0.324433
105,0.373014
106,0.363950
107,0.349362
108,0.334145
109,0.322082
110,0.346219
111,0.378065
112,0.326528
113,0.352941
114,0.387233
115,0.371746
116,0.366021
117,0.351999
118,0.355662
119,0.384275
120,0.354676
121,0.342698
122,0.368185
123,0.403921
124,0.369570
125,0.368457
126,0.359868
127,0.438513
128,0.379377
129,0.406145
130,0.392431
131,0.407149
132,0.388471
133,0.437854
134,0.420577
135,0.446392
136,0.395403
137,0.396425
138,0.390581
139,0.408762
140,0.357167
141,0.380012
142,0.352825
143,0.392722
144,0.343427
145,0.349506
146,0.371057
147,0.405357
148,0.348781
149,0.371687
150,0.362603
151,0.425539
152,0.371988
153,0.350669
154,0.372255
155,0.402880
156,0.368566
157,0.354711
158,0.362035
159,0.444107
160,0.363462
161,0.388965
162,0.397370
163,0.417428
164,0.369858
165,0.406625
166,0.386551
167,0.456333
168,0.386934
169,0.341129
170,0.349931
171,0.429050
172,0.360164
173,0.372088
174,0.365419
175,0.410905
176,0.339283
177,0.350033
178,0.355707
179,0.421398
180,0.385845
181,0.460555
182,0.498730
183,0.526226
184,0.478445
185,0.393062
186,0.257489
187,0.251789
188,0.185038
189,0.306974
190,0.194426
191,0.208083
192,0.156349
193,0.372082
194,0.359448
195,0.339673
196,0.343760
197,0.371198
198,0.369866
199,0.410823
200,0.378712
201,0.367648
202,0.398346
203,0.396076
204,0.355641
205,0.394707
206,0.341283
207,0.347150
208,0.427356
209,0.382805
210,0.356408
211,0.370524
212,0.345827
213,0.325662
214,0.361050
215,0.355770
216,0.340061
217,0.345375
218,0.346996
219,0.337033
220,0.326747
221,0.362531
222,0.359089
223,0.364140
224,0.370600
225,0.346106
226,0.352894
227,0.365468
228,0.340747
229,0.328039
230,0.355132
231,0.354399
232,0.348176
233,0.356565
234,0.344862
235,0.341331
236,0.326714
237,0.363256
238,0.219807
239,0.154064
240,0.111686
241,0.327146
242,0.334278
243,0.348011
244,0.324753
245,0.300528
246,0.327014
247,0.347341
248,0.307005
249,0.329394
250,0.352448
251,0.345726
252,0.340774
253,0.350025
254,0.326441
255,0.354441
256,0.114623
257,0.344849
258,0.369905
259,0.347285
260,0.323586
261,0.326448
262,0.340689
263,0.344439
264,0.315232
265,0.337081
266,0.354074
267,0.321094
268,0.331439
269,0.318436
270,0.345996
271,0.338589
272,0.320562
273,0.331169
274,0.361741
275,0.344264
276,0.329971
277,0.322394
278,0.346626
279,0.365043
280,0.312252
281,0.334766
282,0.351742
283,0.361937
284,0.366412
285,0.355706
286,0.350859
287,0.404094
288,0.387315
289,0.394769
290,0.398720
291,0.379273
292,0.349510
293,0.341955
294,0.335902
295,0.364811
296,0.319518
297,0.366820
298,0.366407
299,0.348901
300,0.343538
301,0.318683
302,0.332247
303,0.367662
304,0.316368
305,0.342427
306,0.379865
307,0.384805
308,0.358477
309,0.353045
310,0.363075
311,0.423186
312,0.362667
313,0.348794
314,0.364008
315,0.403920
316,0.367905
317,0.365577
318,0.357229
319,0.450822
320,0.363260
321,0.416083
322,0.396012
323,0.410722
324,0.388847
325,0.431059
326,0.417205
327,0.454573
328,0.386654
329,0.371943
330,0.394243
331,0.406953
332,0.379055
333,0.376790
334,0.346143
335,0.411433
336,0.340471
337,0.377342
338,0.371530
339,0.407829
340,0.341597
341,0.380664
342,0.382266
343,0.441484
344,0.366180
345,0.365826
346,0.362254
347,0.393835
348,0.372637
349,0.363797
350,0.356595
351,0.437151
352,0.364212
353,0.386347
354,0.397312
355,0.417725
356,0.379641
357,0.414955
358,0.416361
359,0.460491
360,0.382534
361,0.351056
362,0.356749
363,0.420404
364,0.362637
365,0.377635
366,0.369266
367,0.400786
368,0.327271
369,0.348311
370,0.360355
371,0.412871
372,0.372477
373,0.454227
374,0.481690
375,0.503472
376,0.461016
377,0.337468
378,0.242980
379,0.176924
380,0.154327
381,0.130954
382,0.134290
383,0.135618
384,0.142531
385,0.198720
386,0.213929
387,0.185306
388,0.207222
389,0.356869
390,0.350142
391,0.342050
392,0.345077
393,0.335970
394,0.343145
395,0.343927
396,0.355428
397,0.332085
398,0.331774
399,0.349507
400,0.338145
401,0.319394
402,0.322835
403,0.311337
404,0.329999
405,0.336021
406,0.340079
407,0.333127
408,0.339491
409,0.328500
410,0.339114
411,0.347029
412,0.362980
413,0.337874
414,0.330606
415,0.343717
416,0.335953
417,0.338606
418,0.342194
419,0.356191
420,0.349118
421,0.380219
422,0.378244
423,0.399017
424,0.359331
425,0.368832
426,0.367575
427,0.432560
428,0.347031
429,0.404040
430,0.393942
431,0.388963
432,0.388699
433,0.427228
434,0.415169
435,0.436581
436,0.386236
437,0.354007
438,0.382615
439,0.407252
440,0.378148
441,0.377491
442,0.356005
443,0.414416
444,0.340784
445,0.384513
446,0.376342
447,0.407836
448,0.344821
449,0.387297
450,0.367715
451,0.423807
452,0.352065
453,0.362534
454,0.369767
455,0.396047
456,0.342037
457,0.360789
458,0.366764
459,0.441480
460,0.359081
461,0.385038
462,0.394827
463,0.411827
464,0.388169
465,0.425562
466,0.417614
467,0.450996
468,0.380415
469,0.364411
470,0.354978
471,0.416074
472,0.364436
473,0.380432
474,0.379006
475,0.390442
476,0.341708
477,0.350630
478,0.362092
479,0.418483
480,0.372124
481,0.446088
482,0.468157
483,0.502246
484,0.444553
485,0.180247
486,0.064018
487,0.151637
488,0.172203
489,0.232138
490,0.174106
491,0.191615
492,0.193468
493,0.203341
494,0.172058
495,0.203240
496,0.162422
497,0.253911
498,0.187938
499,0.181959
500,0.161092
501,0.181383
502,0.212390
503,0.264592
504,0.280829
505,0.287749
506,0.185630
507,0.167098
508,0.165142
509,0.199041
510,0.166511
511,0.189512
512,0.149336
513,0.215012
514,0.233719
515,0.204930
516,0.250465
517,0.262884
518,0.282925
519,0.251243
520,0.352570
521,0.364486
522,0.320530
523,0.293539
524,0.288721
525,0.285221
526,0.284645
527,0.276705
528,0.243315
529,0.312569
530,0.315117
531,0.270422
532,0.295342
533,0.284560
534,0.304999
535,0.283217
536,0.281058
537,0.416690
538,0.395107
539,0.392003
540,0.380108
541,0.390983
542,0.375542
543,0.420111
544,0.341072
545,0.392468
546,0.388044
547,0.408512
548,0.361640
549,0.394390
550,0.385641
551,0.435567
552,0.373530
553,0.363737
554,0.378498
555,0.366754
556,0.374398
557,0.377117
558,0.382233
559,0.432778
560,0.365008
561,0.394750
562,0.411267
563,0.425967
564,0.405176
565,0.431396
566,0.435097
567,0.455390
568,0.386052
569,0.392160
570,0.378791
571,0.414339
572,0.376834
573,0.401075
574,0.394195
575,0.401287
576,0.341134
577,0.357711
578,0.383064
579,0.417263
580,0.381286
581,0.461112
582,0.490798
583,0.508459
584,0.457825
585,0.370128
586,0.237911
587,0.250031
588,0.302272
589,0.362883
590,0.221224
591,0.154542
592,0.081834
593,0.042137
594,0.023741
595,0.008800
596,0.002459
597,0.000597
598,0.000161
599,0.000069
600,0.000081
601,0.000052
602,0.000117